Date: 07-12-2015
Stats,Layer 1 d (nm),GOF
Mean,377.9,0.9783
Median,403.7,0.9743
Std Dev,69.49,0.009612
Min,221.2,0.9682
Max,466,0.9980
Range,244.8,0.02983
Meas #,Layer 1 d (nm),GOF,Result,Recipe,Date/Time,Elapsed Time (s),User ID,Sample ID,,MMGUID
   1,221.2,.99692, ,SiO2 on Si,7/12/2015 6:22:51 PM,848.68,Unknown,Unknown-11369,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   2,227.5,.99804, ,SiO2 on Si,7/12/2015 6:47:10 PM,2307.48,Unknown,Unknown-11370,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   3,227.8,.99801, ,SiO2 on Si,7/12/2015 6:48:58 PM,2414.96,,Unknown-11372,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   4,227.9,.99791, ,SiO2 on Si,7/12/2015 6:49:09 PM,2425.02,,Unknown-11373,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   5,227.9,.99784, ,SiO2 on Si,7/12/2015 6:49:19 PM,2435.02,,Unknown-11374,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   6,227.9,.99791, ,SiO2 on Si,7/12/2015 6:49:29 PM,2445.03,,Unknown-11375,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   7,228,.99788, ,SiO2 on Si,7/12/2015 6:49:39 PM,2455.03,,Unknown-11376,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   8,228,.99787, ,SiO2 on Si,7/12/2015 6:49:49 PM,2465.02,,Unknown-11377,1,3d07423b-750f-49d1-a5d9-d754707c5afd
   9,228,.99784, ,SiO2 on Si,7/12/2015 6:49:59 PM,2475.02,,Unknown-11378,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  10,228,.99786, ,SiO2 on Si,7/12/2015 6:50:09 PM,2485.03,,Unknown-11379,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  11,228,.99781, ,SiO2 on Si,7/12/2015 6:50:19 PM,2495.03,,Unknown-11380,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  12,228,.99785, ,SiO2 on Si,7/12/2015 6:50:29 PM,2505.04,,Unknown-11381,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  13,228,.99787, ,SiO2 on Si,7/12/2015 6:50:39 PM,2515.04,,Unknown-11382,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  14,228,.99785, ,SiO2 on Si,7/12/2015 6:50:49 PM,2525.04,,Unknown-11383,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  15,228.1,.99786, ,SiO2 on Si,7/12/2015 6:50:59 PM,2535.03,,Unknown-11384,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  16,228.1,.99778, ,SiO2 on Si,7/12/2015 6:51:09 PM,2545.04,,Unknown-11385,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  17,228.2,.99775, ,SiO2 on Si,7/12/2015 6:51:19 PM,2555.05,,Unknown-11386,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  18,228.4,.99764, ,SiO2 on Si,7/12/2015 6:51:29 PM,2565.04,,Unknown-11387,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  19,228.6,.99751, ,SiO2 on Si,7/12/2015 6:51:39 PM,2575.04,,Unknown-11388,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  20,228.9,.99731, ,SiO2 on Si,7/12/2015 6:51:49 PM,2585.05,,Unknown-11389,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  21,229.2,.99703, ,SiO2 on Si,7/12/2015 6:51:59 PM,2595.04,,Unknown-11390,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  22,229.6,.99681, ,SiO2 on Si,7/12/2015 6:52:09 PM,2605.04,,Unknown-11391,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  23,230,.99651, ,SiO2 on Si,7/12/2015 6:52:19 PM,2615.04,,Unknown-11392,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  24,230.4,.99618, ,SiO2 on Si,7/12/2015 6:52:29 PM,2625.04,,Unknown-11393,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  25,230.8,.99579, ,SiO2 on Si,7/12/2015 6:52:39 PM,2635.04,,Unknown-11394,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  26,231.2,.99542, ,SiO2 on Si,7/12/2015 6:52:49 PM,2645.04,,Unknown-11395,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  27,231.6,.99495, ,SiO2 on Si,7/12/2015 6:52:59 PM,2655.04,,Unknown-11396,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  28,232,.99446, ,SiO2 on Si,7/12/2015 6:53:09 PM,2665.04,,Unknown-11397,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  29,232.4,.99395, ,SiO2 on Si,7/12/2015 6:53:19 PM,2675.04,,Unknown-11398,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  30,232.8,.99346, ,SiO2 on Si,7/12/2015 6:53:29 PM,2685.04,,Unknown-11399,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  31,233.2,.99300, ,SiO2 on Si,7/12/2015 6:53:39 PM,2695.04,,Unknown-11400,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  32,233.7,.99526, ,SiO2 on Si,7/12/2015 6:53:49 PM,2705.04,,Unknown-11401,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  33,234.1,.99578, ,SiO2 on Si,7/12/2015 6:53:59 PM,2715.03,,Unknown-11402,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  34,234.6,.99612, ,SiO2 on Si,7/12/2015 6:54:09 PM,2725.04,,Unknown-11403,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  35,235,.99622, ,SiO2 on Si,7/12/2015 6:54:19 PM,2735.04,,Unknown-11404,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  36,235.4,.99653, ,SiO2 on Si,7/12/2015 6:54:29 PM,2745.05,,Unknown-11405,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  37,235.9,.99668, ,SiO2 on Si,7/12/2015 6:54:39 PM,2755.05,,Unknown-11406,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  38,236.3,.99676, ,SiO2 on Si,7/12/2015 6:54:49 PM,2765.04,,Unknown-11407,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  39,236.7,.99685, ,SiO2 on Si,7/12/2015 6:54:59 PM,2775.05,,Unknown-11408,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  40,237.2,.99709, ,SiO2 on Si,7/12/2015 6:55:09 PM,2785.34,,Unknown-11409,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  41,237.7,.99716, ,SiO2 on Si,7/12/2015 6:55:19 PM,2795.34,,Unknown-11410,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  42,238.2,.99711, ,SiO2 on Si,7/12/2015 6:55:29 PM,2805.34,,Unknown-11411,1,3d07423b-750f-49d1-a5d9-d754707c5afd
  43,238.6,.99708, ,SiO2 on Si,7/12/2015 6:55:39 PM,2815.35,,Unknown-11412,1,3d07423b-750f-49d1-a5d9-d754707c5afd
